Guide1,Guide2,Library read counts,Rep1,Rep2,Gene1,Gene2
AHR-KO-3,NHT-KO-124,185,2564,1827,AHR,NHT
AHR-KO-3,NHT-KO-135,152,682,568,AHR,NHT
AHR-KO-3,NHT-KO-39,110,1108,888,AHR,NHT
AHR-KO-3,NHT-KO-23,131,971,752,AHR,NHT
AHR-KO-3,NHT-KO-153,171,688,942,AHR,NHT
AHR-KO-3,NHT-KO-24,114,354,424,AHR,NHT
AHR-KO-3,NHT-KO-3,163,1096,589,AHR,NHT
AHR-KO-3,NHT-KO-36,99,831,1094,AHR,NHT
AHR-KO-3,NHT-KO-154,82,459,462,AHR,NHT
AHR-KO-3,NHT-KO-31,85,1233,925,AHR,NHT
AHR-KO-3,NHT-KO-150,167,1195,1037,AHR,NHT
